Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Chris Paul,59,1889,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,0.9830508474576272,0.7966101694915254,0.3389830508474576,0.05084745762711865,0.01694915254237288,0.03389830508474576,0.3220338983050847,0.3728813559322034,0.3898305084745763,0.559322033898305,0.7627118644067796,0.9322033898305084,0.864406779661017,0.7796610169491526,0.6779661016949152,0.6779661016949152,0.7627118644067796,0.7966101694915254,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.8813559322033898,0.5084745762711864,0.22033898305084745,0.0847457627118644,0.0847457627118644,0.288135593220339,0.288135593220339,0.3050847457627119,0.4067796610169492,0.5932203389830508,0.7457627118644068,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.711864406779661,0.6440677966101694,0.559322033898305
Devin Booker,53,1835,1.0,1.0,1.0,1.0,0.9811320754716981,0.9622641509433962,0.9433962264150944,0.9245283018867925,0.9056603773584906,0.9056603773584906,0.8679245283018868,0.6792452830188679,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.11320754716981132,0.33962264150943394,0.7735849056603774,0.8679245283018868,0.9056603773584906,0.8867924528301887,0.8867924528301887,0.9056603773584906,0.9811320754716981,0.9811320754716981,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9433962264150944,0.8867924528301887,0.8490566037735849,0.8679245283018868,0.8301886792452831,0.8113207547169812,0.2641509433962264,0.2641509433962264,0.24528301886792453,0.22641509433962265,0.3018867924528302,0.5094339622641509,0.6792452830188679,0.7547169811320755,0.7924528301886793,0.7547169811320755,0.6415094339622641,0.5471698113207547
Mikal Bridges,56,2040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9107142857142857,0.6964285714285714,0.32142857142857145,0.14285714285714285,0.2857142857142857,0.26785714285714285,0.30357142857142855,0.42857142857142855,0.5892857142857143,0.8928571428571429,0.9642857142857143,0.9107142857142857,0.9464285714285714,0.9107142857142857,0.9464285714285714,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.6607142857142857,0.48214285714285715,0.39285714285714285,0.26785714285714285,0.30357142857142855,0.35714285714285715,0.44642857142857145,0.6607142857142857,0.7678571428571429,0.8035714285714286,0.7857142857142857,0.75,0.6964285714285714,0.6607142857142857,0.5714285714285714
Torrey Craig,79,1948,0.759493670886076,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.6455696202531646,0.5189873417721519,0.4936708860759494,0.3291139240506329,0.31645569620253167,0.3037974683544304,0.25316455696202533,0.26582278481012656,0.25316455696202533,0.25316455696202533,0.379746835443038,0.3670886075949367,0.4810126582278481,0.6329113924050633,0.6708860759493671,0.7341772151898734,0.7341772151898734,0.7341772151898734,0.7848101265822784,0.7848101265822784,0.7848101265822784,0.7848101265822784,0.7721518987341772,0.7341772151898734,0.6708860759493671,0.5063291139240507,0.35443037974683544,0.26582278481012656,0.20253164556962025,0.20253164556962025,0.25316455696202533,0.26582278481012656,0.25316455696202533,0.27848101265822783,0.26582278481012656,0.34177215189873417,0.4177215189873418,0.4936708860759494,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.45569620253164556
Deandre Ayton,67,2035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9402985074626866,0.6865671641791045,0.26865671641791045,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.04477611940298507,0.05970149253731343,0.16417910447761194,0.4626865671641791,0.7014925373134329,0.8656716417910447,0.8955223880597015,0.8955223880597015,0.8955223880597015,0.9104477611940298,0.8805970149253731,0.9701492537313433,0.9701492537313433,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.8955223880597015,0.8805970149253731,0.7761194029850746,0.582089552238806,0.29850746268656714,0.11940298507462686,0.08955223880597014,0.04477611940298507,0.05970149253731343,0.13432835820895522,0.208955223880597,0.417910447761194,0.6268656716417911,0.7313432835820896,0.7611940298507462,0.7164179104477612,0.6865671641791045,0.6417910447761194,0.5522388059701493
Damion Lee,74,1506,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.10810810810810811,0.10810810810810811,0.17567567567567569,0.2972972972972973,0.47297297297297297,0.5675675675675675,0.7162162162162162,0.7972972972972973,0.8513513513513513,0.8513513513513513,0.8648648648648649,0.8513513513513513,0.7297297297297297,0.44594594594594594,0.32432432432432434,0.22972972972972974,0.22972972972972974,0.24324324324324326,0.22972972972972974,0.24324324324324326,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.06756756756756757,0.0945945945945946,0.06756756756756757,0.17567567567567569,0.3108108108108108,0.4864864864864865,0.6081081081081081,0.7297297297297297,0.7837837837837838,0.8378378378378378,0.7972972972972973,0.7972972972972973,0.7702702702702703,0.6621621621621622,0.5135135135135135,0.44594594594594594,0.40540540540540543,0.36486486486486486,0.33783783783783783,0.35135135135135137,0.43243243243243246
Josh Okogie,72,1350,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.375,0.375,0.3472222222222222,0.3194444444444444,0.2638888888888889,0.25,0.2361111111111111,0.2916666666666667,0.3611111111111111,0.5,0.5,0.5,0.4305555555555556,0.4027777777777778,0.4722222222222222,0.4444444444444444,0.375,0.4027777777777778,0.4305555555555556,0.4305555555555556,0.4166666666666667,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.3888888888888889,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.3055555555555556,0.2777777777777778,0.2777777777777778,0.3194444444444444,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3055555555555556,0.3194444444444444,0.3194444444444444,0.3472222222222222,0.4166666666666667,0.4583333333333333,0.4722222222222222,0.4722222222222222,0.5138888888888888
Jock Landale,69,979,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.07246376811594203,0.07246376811594203,0.08695652173913043,0.17391304347826086,0.3333333333333333,0.6086956521739131,0.7246376811594203,0.7101449275362319,0.7101449275362319,0.6666666666666666,0.5797101449275363,0.4492753623188406,0.2608695652173913,0.10144927536231885,0.07246376811594203,0.13043478260869565,0.15942028985507245,0.15942028985507245,0.14492753623188406,0.13043478260869565,0.057971014492753624,0.07246376811594203,0.08695652173913043,0.07246376811594203,0.057971014492753624,0.07246376811594203,0.08695652173913043,0.18840579710144928,0.37681159420289856,0.43478260869565216,0.6376811594202898,0.6521739130434783,0.6956521739130435,0.6521739130434783,0.5942028985507246,0.5217391304347826,0.34782608695652173,0.21739130434782608,0.13043478260869565,0.15942028985507245,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.2898550724637681
Cameron Payne,48,968,0.3125,0.3125,0.3125,0.3125,0.2916666666666667,0.3125,0.3125,0.375,0.5,0.6875,0.6875,0.6875,0.5625,0.5416666666666666,0.5,0.4791666666666667,0.3958333333333333,0.2916666666666667,0.4166666666666667,0.4375,0.5,0.4583333333333333,0.375,0.375,0.3125,0.3125,0.3125,0.3125,0.3333333333333333,0.2708333333333333,0.25,0.25,0.4166666666666667,0.5416666666666666,0.6041666666666666,0.5416666666666666,0.5625,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.375,0.3541666666666667,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.3541666666666667
Ish Wainright,60,915,0.03333333333333333,0.05,0.05,0.03333333333333333,0.05,0.08333333333333333,0.1,0.2,0.26666666666666666,0.36666666666666664,0.5,0.65,0.6,0.55,0.4666666666666667,0.43333333333333335,0.35,0.26666666666666666,0.16666666666666666,0.08333333333333333,0.1,0.13333333333333333,0.11666666666666667,0.11666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.05,0.11666666666666667,0.15,0.31666666666666665,0.5166666666666667,0.6166666666666667,0.7,0.6833333333333333,0.6,0.5833333333333334,0.5833333333333334,0.5666666666666667,0.55,0.4666666666666667,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.43333333333333335,0.4166666666666667,0.5166666666666667
