Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Killian Hayes,76,2154,0.7368421052631579,0.75,0.75,0.75,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.7763157894736842,0.7763157894736842,0.6578947368421053,0.4605263157894737,0.40789473684210525,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.3815789473684211,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.6710526315789473,0.7105263157894737,0.7105263157894737,0.6842105263157895,0.6973684210526315,0.6973684210526315,0.6973684210526315,0.6842105263157895,0.6578947368421053,0.6578947368421053,0.6710526315789473,0.6710526315789473,0.6578947368421053,0.5789473684210527,0.5394736842105263,0.5,0.42105263157894735,0.34210526315789475,0.32894736842105265,0.32894736842105265,0.3815789473684211,0.4473684210526316,0.4868421052631579,0.4868421052631579,0.6052631578947368,0.6052631578947368,0.5657894736842105,0.5657894736842105,0.5789473684210527
Jaden Ivey,74,2304,0.9864864864864865,0.9864864864864865,0.972972972972973,0.972972972972973,0.972972972972973,0.9054054054054054,0.8243243243243243,0.5945945945945946,0.4189189189189189,0.35135135135135137,0.28378378378378377,0.24324324324324326,0.3108108108108108,0.32432432432432434,0.35135135135135137,0.40540540540540543,0.44594594594594594,0.5945945945945946,0.7432432432432432,0.7702702702702703,0.8378378378378378,0.8378378378378378,0.7972972972972973,0.7567567567567568,1.0,1.0,1.0,0.972972972972973,0.9054054054054054,0.8108108108108109,0.6621621621621622,0.527027027027027,0.36486486486486486,0.25675675675675674,0.17567567567567569,0.16216216216216217,0.2972972972972973,0.3108108108108108,0.3918918918918919,0.47297297297297297,0.5675675675675675,0.7162162162162162,0.7297297297297297,0.7567567567567568,0.7162162162162162,0.6891891891891891,0.6756756756756757,0.6756756756756757
Bojan Bogdanović,59,1893,1.0,1.0,1.0,1.0,1.0,1.0,0.9661016949152542,0.9322033898305084,0.8983050847457628,0.576271186440678,0.2711864406779661,0.11864406779661017,0.0,0.03389830508474576,0.03389830508474576,0.0847457627118644,0.23728813559322035,0.4406779661016949,0.6610169491525424,0.847457627118644,0.9491525423728814,1.0,0.9830508474576272,0.9830508474576272,1.0,1.0,1.0,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9491525423728814,0.864406779661017,0.7627118644067796,0.3559322033898305,0.1694915254237288,0.13559322033898305,0.06779661016949153,0.06779661016949153,0.1016949152542373,0.2711864406779661,0.5084745762711864,0.7288135593220338,0.7796610169491526,0.7627118644067796,0.7627118644067796,0.711864406779661,0.711864406779661,0.711864406779661
Isaiah Stewart,50,1414,0.94,0.94,0.92,0.9,0.88,0.88,0.72,0.6,0.34,0.24,0.24,0.24,0.26,0.26,0.26,0.28,0.34,0.58,0.66,0.78,0.72,0.7,0.7,0.68,0.92,0.9,0.88,0.82,0.8,0.66,0.54,0.54,0.4,0.32,0.3,0.3,0.24,0.24,0.3,0.34,0.42,0.56,0.64,0.74,0.72,0.62,0.56,0.56
Jalen Duren,67,1670,0.4626865671641791,0.4626865671641791,0.47761194029850745,0.47761194029850745,0.47761194029850745,0.4626865671641791,0.5074626865671642,0.582089552238806,0.5373134328358209,0.5671641791044776,0.582089552238806,0.5671641791044776,0.5373134328358209,0.4925373134328358,0.47761194029850745,0.47761194029850745,0.373134328358209,0.3880597014925373,0.47761194029850745,0.417910447761194,0.47761194029850745,0.44776119402985076,0.5223880597014925,0.4626865671641791,0.4626865671641791,0.44776119402985076,0.44776119402985076,0.44776119402985076,0.44776119402985076,0.4925373134328358,0.5223880597014925,0.5223880597014925,0.47761194029850745,0.47761194029850745,0.5522388059701493,0.5970149253731343,0.6119402985074627,0.6268656716417911,0.6268656716417911,0.6567164179104478,0.6417910447761194,0.5373134328358209,0.5223880597014925,0.47761194029850745,0.5074626865671642,0.5223880597014925,0.47761194029850745,0.4626865671641791
Saddiq Bey,52,1500,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5961538461538461,0.5769230769230769,0.5384615384615384,0.5576923076923077,0.5769230769230769,0.5576923076923077,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5961538461538461,0.6153846153846154,0.7115384615384616,0.6346153846153846,0.7115384615384616,0.6346153846153846,0.6153846153846154,0.5961538461538461,0.5769230769230769,0.5769230769230769,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.6730769230769231,0.6730769230769231,0.6923076923076923,0.6346153846153846,0.6346153846153846,0.5576923076923077,0.5769230769230769,0.5961538461538461,0.5576923076923077,0.5,0.5,0.46153846153846156,0.5192307692307693,0.5384615384615384,0.6153846153846154,0.6538461538461539,0.6346153846153846,0.6538461538461539,0.6346153846153846,0.6153846153846154,0.6153846153846154
Cory Joseph,62,1227,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.0967741935483871,0.12903225806451613,0.22580645161290322,0.3387096774193548,0.46774193548387094,0.6129032258064516,0.7903225806451613,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.7580645161290323,0.6774193548387096,0.532258064516129,0.41935483870967744,0.27419354838709675,0.1935483870967742,0.11290322580645161,0.14516129032258066,0.16129032258064516,0.06451612903225806,0.06451612903225806,0.08064516129032258,0.12903225806451613,0.14516129032258066,0.1774193548387097,0.1935483870967742,0.2903225806451613,0.43548387096774194,0.6451612903225806,0.7903225806451613,0.8548387096774194,0.8225806451612904,0.8064516129032258,0.7741935483870968,0.6774193548387096,0.532258064516129,0.46774193548387094,0.3870967741935484,0.41935483870967744,0.43548387096774194,0.532258064516129,0.532258064516129,0.5
Isaiah Livers,52,1199,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.40384615384615385,0.40384615384615385,0.40384615384615385,0.38461538461538464,0.2692307692307692,0.28846153846153844,0.46153846153846156,0.5769230769230769,0.6153846153846154,0.6346153846153846,0.6346153846153846,0.6153846153846154,0.6730769230769231,0.6346153846153846,0.5192307692307693,0.5192307692307693,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.4807692307692308,0.4807692307692308,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.36538461538461536,0.36538461538461536,0.40384615384615385,0.36538461538461536,0.3269230769230769,0.36538461538461536,0.5192307692307693,0.5384615384615384,0.5576923076923077,0.6153846153846154,0.5961538461538461,0.5576923076923077,0.5961538461538461,0.5384615384615384,0.5,0.4807692307692308,0.46153846153846156,0.38461538461538464,0.34615384615384615,0.36538461538461536,0.40384615384615385
Alec Burks,51,1122,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.23529411764705882,0.29411764705882354,0.5294117647058824,0.6666666666666666,0.7647058823529411,0.8431372549019608,0.8627450980392157,0.8823529411764706,0.8235294117647058,0.7843137254901961,0.7254901960784313,0.49019607843137253,0.21568627450980393,0.19607843137254902,0.23529411764705882,0.21568627450980393,0.2549019607843137,0.35294117647058826,0.39215686274509803,0.17647058823529413,0.19607843137254902,0.19607843137254902,0.21568627450980393,0.27450980392156865,0.37254901960784315,0.49019607843137253,0.6274509803921569,0.8235294117647058,0.8627450980392157,0.8431372549019608,0.8431372549019608,0.7254901960784313,0.7058823529411765,0.5490196078431373,0.43137254901960786,0.3137254901960784,0.17647058823529413,0.19607843137254902,0.23529411764705882,0.35294117647058826,0.37254901960784315,0.4117647058823529,0.45098039215686275
Hamidou Diallo,56,996,0.0,0.0,0.0,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.17857142857142858,0.35714285714285715,0.48214285714285715,0.6607142857142857,0.7678571428571429,0.8392857142857143,0.8035714285714286,0.7857142857142857,0.7321428571428571,0.6607142857142857,0.5178571428571429,0.35714285714285715,0.21428571428571427,0.10714285714285714,0.05357142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.07142857142857142,0.23214285714285715,0.4107142857142857,0.5535714285714286,0.6785714285714286,0.75,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.875,0.7857142857142857,0.625,0.44642857142857145,0.30357142857142855,0.25,0.21428571428571427,0.26785714285714285,0.25,0.23214285714285715
